WebsiteAccessCategoryID,AccessType,Description,AccessLevel,LastLoginDate,AccountStatus,DateCreated,UserRole,Permissions,MultiFactorEnabled,SubscriptionPlan,CustomerID
1,Admin,Method because according maintain woman month southern.,Low,2024-06-05,Suspended,2022-12-20,Manager,"['sense', 'staff', 'property']",False,Basic,2
2,Admin,Art thing eye mention by billion show anyone.,Low,2024-05-04,Active,2024-05-07,Buyer,"['everybody', 'nice', 'ten']",True,Enterprise,9
3,User,Develop skin senior throw detail fight group.,Medium,2024-04-16,Inactive,2021-02-10,Seller,"['hot', 'cover', 'subject']",True,Premium,7
4,User,Hear nearly hotel administration year.,Low,2024-07-27,Active,2020-09-04,Manager,"['room', 'game', 'free']",True,Premium,2
5,Guest,Take surface put there dog little.,Low,2024-06-08,Active,2020-05-19,Buyer,"['sure', 'politics', 'remain']",False,Premium,7
6,Guest,Them civil experience leader left full.,Medium,2024-07-08,Active,2024-04-28,Manager,"['tend', 'stuff', 'especially']",True,Enterprise,3
7,Admin,Reduce for realize customer despite air nation.,Medium,2024-04-12,Inactive,2020-06-15,Manager,"['white', 'weight', 'study']",False,Enterprise,2
8,Guest,Imagine huge as nature arrive bar.,High,2024-07-23,Active,2024-02-26,Buyer,"['religious', 'commercial', 'down']",False,Premium,1
9,Admin,Fill run these right foreign large her.,Low,2024-03-21,Inactive,2021-06-14,Manager,"['whatever', 'real', 'over']",True,Basic,6
10,Admin,Blue term key.,High,2024-08-13,Suspended,2022-02-26,Buyer,"['machine', 'others', 'worker']",False,Basic,5
11,Admin,You door store.,Low,2024-03-24,Active,2023-11-14,Manager,"['rest', 'certain', 'how']",False,Enterprise,9
12,User,Vote hour fear individual guy later hospital management.,Medium,2024-03-26,Suspended,2021-09-03,Buyer,"['science', 'meeting', 'write']",True,Enterprise,6
13,Admin,Bill despite dinner wind yourself early today amount.,High,2024-08-05,Inactive,2020-08-24,Buyer,"['them', 'under', 'road']",True,Premium,10
14,Guest,Enjoy some fill conference pressure event wonder.,Low,2024-07-11,Inactive,2023-08-07,Seller,"['market', 'discussion', 'color']",True,Enterprise,5
15,User,Late camera can near event catch.,Medium,2024-07-23,Active,2023-03-17,Seller,"['thank', 'class', 'finally']",False,Premium,3
16,Guest,Support practice receive husband follow final prepare.,Low,2024-04-11,Suspended,2023-09-08,Seller,"['number', 'change', 'share']",True,Enterprise,5
17,Admin,Protect shoulder economy and his career read.,Low,2024-03-08,Active,2020-09-11,Buyer,"['activity', 'attack', 'arrive']",False,Basic,7
